bay_id,st_marker_id,status,location
4534,10003S,Present,"(-37.823615195660295, 144.96940349360915)"
4535,10005S,Present,"(-37.823632347298542, 144.9693439692783)"
4536,10007S,Present,"(-37.823648561245811, 144.96928797827002)"
2630,10009W,Present,"(-37.804589078893102, 144.94772758799439)"
4537,10011S,Present,"(-37.823685442934377, 144.96915773834183)"
4539,10015S,Present,"(-37.823722514431807, 144.96902981265143)"
4540,10017S,Present,"(-37.82374076105183, 144.96896633799761)"
4542,10032N,Present,"(-37.823241139532016, 144.96677472791441)"
4550,10043S,Present,"(-37.823362938117114, 144.96563603568552)"
4551,10044N,Unoccupied,"(-37.823074065206825, 144.96575480120418)"
4552,10045S,Unoccupied,"(-37.823351730610383, 144.96556995277953)"
2637,10107W,Present,"(-37.803683471603257, 144.9478867437966)"
2638,10109W,Present,"(-37.803632374081744, 144.9478959177749)"
2639,10111W,Unoccupied,"(-37.803576876749986, 144.94790645089543)"
2640,10113W,Unoccupied,"(-37.80352470224846, 144.94791640742318)"
2642,10116E,Unoccupied,"(-37.803366312143694, 144.94817756967603)"
2643,10117W,Unoccupied,"(-37.80331023671215, 144.94795352191855)"
2644,10118E,Unoccupied,"(-37.803312881984837, 144.94818696543484)"
2646,10120E,Unoccupied,"(-37.803255143086531, 144.94819724754004)"
2648,10122E,Unoccupied,"(-37.80319686154327, 144.94820752160638)"
2650,10141W,Unoccupied,"(-37.802505012620543, 144.94809301745207)"
2651,10151W,Unoccupied,"(-37.804871339038115, 144.94920576317588)"
2652,10153W,Present,"(-37.804816488725699, 144.94921521967157)"
2655,10159W,Present,"(-37.804653688023478, 144.94924337361738)"
2657,10162E,Unoccupied,"(-37.804592217791047, 144.94944842941285)"
2659,10166E,Present,"(-37.804467159574671, 144.94947036711096)"
2660,10167W,Unoccupied,"(-37.804403615960304, 144.94928842504095)"
2666,10174E,Unoccupied,"(-37.804219704502593, 144.9495134866817)"
2667,10176E,Unoccupied,"(-37.80416572715297, 144.94952316724761)"
2670,10179W,Unoccupied,"(-37.804095914572599, 144.94934202566535)"
2672,10181W,Present,"(-37.804042284288954, 144.94935136311489)"
2674,10183W,Present,"(-37.80398937902396, 144.94936052460091)"
2677,10186E,Present,"(-37.803895316621507, 144.94957135301303)"
2680,10189W,Unoccupied,"(-37.803827477736363, 144.94938864699947)"
2684,10193W,Present,"(-37.803714523252289, 144.94940827164035)"
2690,10199W,Present,"(-37.803557195471825, 144.94943560270102)"
2694,10324E,Present,"(-37.803003861581459, 144.94403243100396)"
2696,10326E,Present,"(-37.803046931285422, 144.94402475908936)"
2698,10328E,Present,"(-37.803089294854352, 144.94401711125545)"
2700,10330E,Present,"(-37.803192964359091, 144.94399913772605)"
