bay_id,st_marker_id,status,location,lat,lon
4282,C6900,Unoccupied,"(-37.80924499662795, 144.9558123618251)",-37.80924499662795,144.9558123618251
6018,13035S,Unoccupied,"(-37.82118079247428, 144.94716143578898)",-37.82118079247428,144.94716143578898
4188,C6646,Present,"(-37.808541422189045, 144.9591283997378)",-37.808541422189045,144.9591283997378
1260,4450E,Unoccupied,"(-37.813977354508374, 144.9547467827323)",-37.813977354508374,144.9547467827323
2510,C2954,Present,"(-37.812751159078395, 144.96069414799933)",-37.812751159078395,144.96069414799933
5739,12389S,Present,"(-37.810934653433634, 144.97660363376707)",-37.810934653433634,144.97660363376707
2376,3182N,Present,"(-37.81390241659672, 144.95632422229693)",-37.81390241659672,144.95632422229693
4315,C6966,Unoccupied,"(-37.80939200298975, 144.9561920623273)",-37.80939200298975,144.9561920623273
6117,C13572,Present,"(-37.81947538857838, 144.94504612163064)",-37.81947538857838,144.94504612163064
3210,5480E,Unoccupied,"(-37.80720039474188, 144.9544523323345)",-37.80720039474188,144.9544523323345
3536,7035S,Unoccupied,"(-37.80758625533919, 144.95846052404136)",-37.80758625533919,144.95846052404136
6123,C13596,Present,"(-37.81953717751574, 144.944832602833)",-37.81953717751574,144.944832602833
6126,C13608,Present,"(-37.81956463076618, 144.94473774155034)",-37.81956463076618,144.94473774155034
6746,6623S,Unoccupied,"(-37.80850096072153, 144.9596111200309)",-37.80850096072153,144.9596111200309
5231,11516N,Present,"(-37.811791648720245, 144.95184518661557)",-37.811791648720245,144.95184518661557
4224,C6752,Present,"(-37.80937705373796, 144.9570585286176)",-37.80937705373796,144.9570585286176
3706,7672N,Unoccupied,"(-37.803788683566225, 144.9570519975389)",-37.803788683566225,144.9570519975389
4435,C7710,Unoccupied,"(-37.80359824282294, 144.95451109653197)",-37.80359824282294,144.95451109653197
2366,3101S,Unoccupied,"(-37.81361505106257, 144.95801126956462)",-37.81361505106257,144.95801126956462
2045,3516N,Unoccupied,"(-37.812991539843566, 144.95588954285782)",-37.812991539843566,144.95588954285782
6437,13701W,Unoccupied,"(-37.81975103837492, 144.94589560870062)",-37.81975103837492,144.94589560870062
4198,C6674,Present,"(-37.80871941332218, 144.95851431801265)",-37.80871941332218,144.95851431801265
4249,C6830,Present,"(-37.809366383362786, 144.95564373036325)",-37.809366383362786,144.95564373036325
2244,3932N,Unoccupied,"(-37.81221282649996, 144.9545647431513)",-37.81221282649996,144.9545647431513
6383,13629W,Present,"(-37.82039383410654, 144.94448538974817)",-37.82039383410654,144.94448538974817
6582,13860N,Unoccupied,"(-37.81243091538448, 144.94089422868896)",-37.81243091538448,144.94089422868896
6132,C13632,Unoccupied,"(-37.81968176847585, 144.94433035327427)",-37.81968176847585,144.94433035327427
2450,C2776,Present,"(-37.810269409303274, 144.96912071717077)",-37.810269409303274,144.96912071717077
2255,3951S,Present,"(-37.81267182123126, 144.95343342342755)",-37.81267182123126,144.95343342342755
2501,C2934,Present,"(-37.81249994562861, 144.9614667230229)",-37.81249994562861,144.9614667230229
4174,C6608,Present,"(-37.80838979667196, 144.9596519197408)",-37.80838979667196,144.9596519197408
6105,C13516,Unoccupied,"(-37.819255595277355, 144.94580653889028)",-37.819255595277355,144.94580653889028
4252,C6836,Unoccupied,"(-37.80930933716368, 144.95565402708218)",-37.80930933716368,144.95565402708218
3215,5518E,Unoccupied,"(-37.80687120945355, 144.95430213931687)",-37.80687120945355,144.95430213931687
2268,3969S,Unoccupied,"(-37.812834145609614, 144.95285911368765)",-37.812834145609614,144.95285911368765
4178,C6620,Present,"(-37.80842568141322, 144.9595280840578)",-37.80842568141322,144.9595280840578
5247,11519S,Unoccupied,"(-37.81180757381466, 144.95220579837365)",-37.81180757381466,144.95220579837365
6659,11539S,Present,"(-37.811950464847044, 144.9516998567733)",-37.811950464847044,144.9516998567733
6572,13840N,Unoccupied,"(-37.8127184772563, 144.94013826160312)",-37.8127184772563,144.94013826160312
6104,C13512,Present,"(-37.81924644098103, 144.94583855494295)",-37.81924644098103,144.94583855494295
727,594E,Present,"(-37.808853046627384, 144.96921048464566)",-37.808853046627384,144.96921048464566
